NOMBRE,APELLIDO,POBLACIÓN,FECHA-NACIMIENTO,EDAD,VALORES,SALARIO
JOAN MIQUEL,ROSARIO,Euskadi,,,,
DANIEL ALBERTO,HUSSAIN,Euskadi,,,,
DAVIDE,LASA,Euskadi,,,,
ALIOU,IZAGUIRRE,Gipuzkoa,,,,
JOAN MARIA,JIN,Gipuzkoa,,,,
TOMASZ,TOLOSA,Gipuzkoa,,,,
MELQUIADES,MORENTE,Bizkaia,,,,
ZOILO,BERNAD,Bizkaia,,,,
JORGE IVAN,MERCADER,Bizkaia,,,,
TIBURCIO,FRANCH,Álava,,,,
AITZOL,BEDOYA,Álava,,,,
CARLOS IGNACIO,DE BLAS,Álava,,,,
YONATHAN,GEORGIEV,Euskadi,,,,
MARTIN JOSE,HUETE,Euskadi,,,,
JULIA,NEGRIN,Euskadi,,,,
LUIS ROBERTO,POPESCU,Gipuzkoa,,,,
ZIGOR,BELLON,Gipuzkoa,,,,
JOSE ABEL,GUASCH,Gipuzkoa,,,,
JOSE ISMAEL,PINTOR,Bizkaia,,,,
ALBERTO ANTONIO,CURTO,Bizkaia,,,,
EL MILOUD,VASILE,Bizkaia,,,,
SERGIU,AGUERO,Álava,,,,
AINGERU,EDO,Álava,,,,
VASIL,BERNARDEZ,Álava,,,,
STANISLAV,GOICOECHEA,Euskadi,,,,
ALEKSANDAR,DEL VAL,Euskadi,,,,
ARTEMIO,BARREDA,Euskadi,,,,
CARLOS ROBERTO,ALMENDROS,Gipuzkoa,,,,
DIEGO JAVIER,BALLESTA,Gipuzkoa,,,,
ISABELO,DE LUCAS,Gipuzkoa,,,,
IVAYLO,MONZO,Bizkaia,,,,
TIAGO,SABORIDO,Bizkaia,,,,
COSTICA,CAO,Bizkaia,,,,
ROLAND,PALENCIA,Álava,,,,
ISSA,ALLER,Álava,,,,
ABDELMALEK,CURIEL,Álava,,,,
PATROCINIO,CLAVERO,Euskadi,,,,
MANUEL EDUARDO,OLEA,Euskadi,,,,
ANTONIO ALEJANDRO,LAVIN,Euskadi,,,,
VALERIU,MULET,Gipuzkoa,,,,
DEOGRACIAS,SOLERA,Gipuzkoa,,,,
RAMON ANGEL,ESPINA,Gipuzkoa,,,,
URIEL,ZARATE,Bizkaia,,,,
CARLOS RAMON,GUILLEM,Bizkaia,,,,
DIEGO FRANCISCO,PAGAN,Bizkaia,,,,
YAROSLAV,CRUCES,Álava,,,,
JOSE ORIOL,CORREAS,Álava,,,,
JOAN FRANCESC,CORCOLES,Álava,,,,
SERAPIO,VELARDE,Euskadi,,,,
ALEJANDRO ANTONIO,ARANGO,Euskadi,,,,
RADOUANE,PAJUELO,Euskadi,,,,
SILVANO,MELO,Gipuzkoa,,,,
DANIELE,MARCH,Gipuzkoa,,,,
PABLO ALBERTO,TORRAS,Gipuzkoa,,,,
TAOUFIK,HITA,Bizkaia,,,,
CARLOS ANGEL,FRESNEDA,Bizkaia,,,,
PEDRO DANIEL,TERCERO,Bizkaia,,,,
LUIS PEDRO,SOLSONA,Álava,,,,
DELMIRO,BARRACHINA,Álava,,,,
LIBERTO,ACEITUNO,Álava,,,,
SERGIO JESUS,PITARCH,Euskadi,,,,
ANDRES FRANCISCO,SALADO,Euskadi,,,,
JAWAD,NOTARIO,Euskadi,,,,
SERGIO DAVID,REGO,Gipuzkoa,,,,
ENRIQUE LUIS,CALABUIG,Gipuzkoa,,,,
DIEGO ARMANDO,COLMENERO,Gipuzkoa,,,,
HECTOR JOSE,CORBALAN,Bizkaia,,,,
PABLO FRANCISCO,QUISPE,Bizkaia,,,,
ADEL,VARONA,Bizkaia,,,,
ALBERTO LUIS,LLADO,Álava,,,,
WILFREDO,BAJO,Álava,,,,
ANGEL RAFAEL,ALGABA,Álava,,,,
NICU,VICARIO,Euskadi,,,,
OSCAR ALBERTO,CHINCHILLA,Euskadi,,,,
JAVIER MANUEL,AVALOS,Euskadi,,,,
MANFRED,GALISTEO,Gipuzkoa,,,,
JOSE GERMAN,LOSA,Gipuzkoa,,,,
MOKHTAR,VICENS,Gipuzkoa,,,,
NICOLA,VALDIVIESO,Bizkaia,,,,
EUSTASIO,DE LOS REYES,Bizkaia,,,,
JAIME MANUEL,PATON,Bizkaia,,,,
ABDELOUAHED,QUINTELA,Álava,,,,
LIAM,ALBEROLA,Álava,,,,
ROBERTO ANTONIO,OLTRA,Álava,,,,
AISSA,SIRVENT,Euskadi,,,,
ABUNDIO,GIJON,Euskadi,,,,
JEAN PAUL,BAYONA,Euskadi,,,,
OSVALDO,GAITAN,Gipuzkoa,,,,
YORDAN,SERRAT,Gipuzkoa,,,,
PETRO,CALVENTE,Gipuzkoa,,,,
FLAVIO,NOYA,Bizkaia,,,,
FLORENTIN,GABALDON,Bizkaia,,,,
MANEX,TABARES,Bizkaia,,,,
APOLONIO,ESCOLANO,Álava,,,,
BENAISSA,DE LA HOZ,Álava,,,,
DANILO,BERTOMEU,Álava,,,,
FELIPE JOSE,RENDON,Euskadi,,,,
EMILIO JAVIER,ALCOCER,Euskadi,,,,
TARIQ,PIEDRA,Euskadi,,,,
EL HABIB,PACHON,Gipuzkoa,,,,
CARLOS AUGUSTO,GUILLAMON,Gipuzkoa,,,,
EDUARDO LUIS,IÑIGO,Gipuzkoa,,,,
JOSE M,CASTIÑEIRA,Bizkaia,,,,
JUAN GREGORIO,GALARZA,Bizkaia,,,,
STELIAN,BORREGUERO,Bizkaia,,,,
ANTONIO TOMAS,HERRAEZ,Álava,,,,
FRANCISCO IGNACIO,CORPAS,Álava,,,,
ELISARDO,POSE,Álava,,,,
FRANCISCO PEDRO,BORRELL,Euskadi,,,,
JORGE JESUS,JIANG,Euskadi,,,,
JESUS RAFAEL,MUR,Euskadi,,,,
JOSE MATIAS,CUADROS,Gipuzkoa,,,,
NIZAR,HUESO,Gipuzkoa,,,,
MARIO JESUS,ZARZA,Gipuzkoa,,,,
PIERRE,VILLARROEL,Bizkaia,,,,
VICTOR LUIS,AZORIN,Bizkaia,,,,
LUIS JORGE,ASENSI,Bizkaia,,,,
MBAYE,TRIGUEROS,Álava,,,,
SALOMON,DIMITROV,Álava,,,,
JOSE CRUZ,GALEANO,Álava,,,,
MARIO ANTONIO,BARRADO,Euskadi,,,,
HANS,BAUZA,Euskadi,,,,
MANUEL SANTIAGO,HEVIA,Euskadi,,,,
VINCENZO,OCAMPO,Gipuzkoa,,,,
JESUS ALEJANDRO,CEDEÑO,Gipuzkoa,,,,
JON ANDONI,SOMOZA,Gipuzkoa,,,,
MARCOS JESUS,BARO,Bizkaia,,,,
ABDALLAH,CALLEJO,Bizkaia,,,,
EBRIMA,GAMBOA,Bizkaia,,,,
VALERO,ARACIL,Álava,,,,
HERMOGENES,GANDARA,Álava,,,,
PEDRO ALEJANDRO,BARCENA,Álava,,,,
CRISTINEL,RODERO,Euskadi,,,,
KHALED,TORAL,Euskadi,,,,
KLAUS,MAESO,Euskadi,,,,
LOPE,MONEDERO,Gipuzkoa,,,,
MARCOS MANUEL,COLOMA,Gipuzkoa,,,,
CARLOS IVAN,TORTAJADA,Gipuzkoa,,,,
NAHUEL,BATLLE,Bizkaia,,,,
RAMSES,ALEGRIA,Bizkaia,,,,
THIAGO,GARGALLO,Bizkaia,,,,
ARATZ,POU,Álava,,,,
ARTURO JOSE,AMENGUAL,Álava,,,,
FRANCISCO SALVADOR,BERNAT,Álava,,,,
LUIS RAFAEL,DEL TORO,Euskadi,,,,
NADIR,JAREÑO,Euskadi,,,,
SANTIAGO JESUS,VIVO,Euskadi,,,,
LEOVIGILDO,MAGAN,Gipuzkoa,,,,
NAJIM,MOURE,Gipuzkoa,,,,
DIEGO LUIS,REQUEJO,Gipuzkoa,,,,
TANAUSU,MARCHENA,Bizkaia,,,,
ANDERSON,TREJO,Bizkaia,,,,
BOUJEMAA,HERNANZ,Bizkaia,,,,
AMADEU,CEJUDO,Álava,,,,
PHILIPPE,LLOP,Álava,,,,
GHEORGHITA,CALLEJAS,Álava,,,,
JULIO ENRIQUE,AGUSTI,Euskadi,,,,
MIGUEL RAMON,FABRA,Euskadi,,,,
WERNER,PRADES,Euskadi,,,,
ELVIS,PERONA,Gipuzkoa,,,,
BOUCHAIB,RODAS,Gipuzkoa,,,,
CARLOS RAFAEL,BALBOA,Gipuzkoa,,,,
JOSE GERARDO,CABRERIZO,Bizkaia,,,,
MANUEL RAFAEL,TAMARIT,Bizkaia,,,,
PEDRO FERNANDO,COMESAÑA,Bizkaia,,,,
KARL HEINZ,PELEGRIN,Álava,,,,
NATANAEL,PIQUER,Álava,,,,
LUIS ERNESTO,GELABERT,Álava,,,,
LUIS MARIO,BOZA,Euskadi,,,,
LUKAS,TORRALBO,Euskadi,,,,
YON,VILLAESCUSA,Euskadi,,,,
RAMON FRANCISCO,SEIJO,Gipuzkoa,,,,
PAWEL,GASCO,Gipuzkoa,,,,
SIMION,MARQUINA,Gipuzkoa,,,,
GABRIEL ALEJANDRO,MANCERA,Bizkaia,,,,
RICARDO JESUS,ZARCO,Bizkaia,,,,
MIGUEL CARLOS,GEORGIEVA,Bizkaia,,,,
ANDRES MIGUEL,BRENES,Álava,,,,
ROBERTO JAVIER,DEL CERRO,Álava,,,,
HERNANDO,LLACER,Álava,,,,
MOR,MALAGON,Euskadi,,,,
CRISTO MANUEL,MOSCOSO,Euskadi,,,,
KEITH,GAMARRA,Euskadi,,,,
TODOR,MAYORGA,Gipuzkoa,,,,
MAHMOUD,BROTONS,Gipuzkoa,,,,
WEI,CHAMIZO,Gipuzkoa,,,,
BERNARD,DIOS,Bizkaia,,,,
JEAN,MACHUCA,Bizkaia,,,,
NAJIB,CAÑELLAS,Bizkaia,,,,
TOMAS JOSE,GIRONA,Álava,,,,
MANUEL PEDRO,LUMBRERAS,Álava,,,,
JOSEF,LERMA,Álava,,,,
ARISTIDES,GONCALVES,Euskadi,,,,
EMILIO ANTONIO,QUIJADA,Euskadi,,,,
ENAITZ,TRONCOSO,Euskadi,,,,
GOTZON,MOLANO,Gipuzkoa,,,,
OSAMA,DEL HOYO,Gipuzkoa,,,,
PEDRO RAFAEL,LARROSA,Gipuzkoa,,,,
RAFAEL JUAN,OLIVERAS,Bizkaia,,,,
PETER JOHN,CORDOVA,Bizkaia,,,,
ADRIAN JOSE,URBINA,Bizkaia,,,,
EL MEHDI,HERNAN,Álava,,,,
DAOUDA,SICILIA,Álava,,,,
OCTAVIAN,COLLANTES,Álava,,,,
ROY,NOVILLO,Euskadi,,,,
BABACAR,VILALTA,Euskadi,,,,
CAYO,HU,Euskadi,,,,
LAHBIB,BERRIO,Gipuzkoa,,,,
FEDERICO JOSE,AZCONA,Gipuzkoa,,,,
GALDER,FLOR,Gipuzkoa,,,,
MOHAMED ALI,HERMOSILLA,Bizkaia,,,,
VIRGIL,PIMENTEL,Bizkaia,,,,
BAUDILIO,ESTEPA,Bizkaia,,,,
JOAQUIN JESUS,MIÑANA,Álava,,,,
ANTONIO DOMINGO,MESAS,Álava,,,,
DEMBA,ARMENTEROS,Álava,,,,
JOSE BLAS,CRUZADO,Euskadi,,,,
MIGUEL ENRIQUE,MAGRO,Euskadi,,,,
DIEGO ANDRES,BOUZAS,Euskadi,,,,
JURGEN,REGUEIRA,Gipuzkoa,,,,
ANDY,VAZ,Gipuzkoa,,,,
RIGOBERTO,BATALLA,Gipuzkoa,,,,
ROBUSTIANO,RESTREPO,Bizkaia,,,,
DOMINGO JAVIER,DAVID,Bizkaia,,,,
JORGE IGNACIO,COLLAZO,Bizkaia,,,,
PABLO CESAR,DIAS,Álava,,,,
RABAH,CAMARENA,Álava,,,,
PHILIP,FABREGAS,Álava,,,,
MISAEL,CANOSA,Euskadi,,,,
TUDOR,LOPERA,Euskadi,,,,
ABDERRAZZAK,REVERTE,Euskadi,,,,
ALFONSO LUIS,VARAS,Gipuzkoa,,,,
DOMICIANO,PONT,Gipuzkoa,,,,
GRZEGORZ,TEJEDA,Gipuzkoa,,,,
SANDALIO,GALDON,Bizkaia,,,,
SERGIO LUIS,MONTSERRAT,Bizkaia,,,,
YURI,ALCAÑIZ,Bizkaia,,,,
JACINT,BELENGUER,Álava,,,,
CARLOS JUAN,PALACIN,Álava,,,,
YUSEF,CIUDAD,Álava,,,,
MANUEL SALVADOR,MALLO,Euskadi,,,,
MIGUEL JUAN,ESCOBEDO,Euskadi,,,,
RAFAEL ALBERTO,CANDEL,Euskadi,,,,
ALEJANDRO MIGUEL,ROURA,Gipuzkoa,,,,
FRUTOS,JOVE,Gipuzkoa,,,,
MICHAL,LEDO,Gipuzkoa,,,,
RAFAEL MIGUEL,CUBAS,Bizkaia,,,,
ALEXEY,GALLEGOS,Bizkaia,,,,
ADRIAN JESUS,LEYVA,Bizkaia,,,,
RAUL ANTONIO,CORONA,Álava,,,,
SHAHID,DARIAS,Álava,,,,
ASTERIO,VERDE,Álava,,,,
LUIS PABLO,PIERA,Euskadi,,,,
EÑAUT,MENDIETA,Euskadi,,,,
IVAN MANUEL,DE SOUSA,Euskadi,,,,
LIONEL,ESPI,Gipuzkoa,,,,
TXOMIN,MATEI,Gipuzkoa,,,,
ANGEL ENRIQUE,RICART,Gipuzkoa,,,,
JALAL,VIÑA,Bizkaia,,,,
JULIO ANGEL,BERBEL,Bizkaia,,,,
ANDRES AVELINO,GALDEANO,Bizkaia,,,,
CESAR LUIS,PUENTES,Álava,,,,
IORITZ,URIA,Álava,,,,
JULIO MIGUEL,UTRILLA,Álava,,,,
MELITON,GONGORA,Euskadi,,,,
NORBERT,IVARS,Euskadi,,,,
MAROUANE,VINUESA,Euskadi,,,,
ROBERTO MANUEL,GUAMAN,Gipuzkoa,,,,
PABLO ENRIQUE,MORANT,Gipuzkoa,,,,
JOAN MANEL,MADUEÑO,Gipuzkoa,,,,
ANACLETO,FELIZ,Bizkaia,,,,
LUIS GONZAGA,MELGAREJO,Bizkaia,,,,
MANUEL AGUSTIN,CASTELLA,Bizkaia,,,,
DIEGO ALBERTO,ARANGUREN,Álava,,,,
JOSE VALENTIN,ENRIQUE,Álava,,,,
ENRIQUE FRANCISCO,TRAORE,Álava,,,,
JUAN ROBERTO,LASHERAS,Euskadi,,,,
JULIAN JOSE,MUELA,Euskadi,,,,
JOSE GONZALO,BENEDICTO,Euskadi,,,,
RAFAEL ENRIQUE,TRUEBA,Gipuzkoa,,,,
VICTOR ALFONSO,MUNUERA,Gipuzkoa,,,,
DANIEL ANGEL,CEA,Gipuzkoa,,,,
MANUEL EMILIO,BAZ,Bizkaia,,,,
PEDRO TOMAS,BOADA,Bizkaia,,,,
PEDRO JULIAN,SALVADO,Bizkaia,,,,
JOSEP MIQUEL,TEIJEIRO,Álava,,,,
NORMAN,ZABALETA,Álava,,,,
TRINITARIO,MAYORDOMO,Álava,,,,
ALADINO,LABORDA,Euskadi,,,,
BRIGIDO,PALLAS,Euskadi,,,,
PEPE,PADIN,Euskadi,,,,
DOSITEO,ANTONIO,Gipuzkoa,,,,
GONZALO JOSE,JUNQUERA,Gipuzkoa,,,,
LEONEL,CASTELLON,Gipuzkoa,,,,
ANATOLIY,AGUSTIN,Bizkaia,,,,
DOMINGO MANUEL,OBREGON,Bizkaia,,,,
MOULOUD,RIOJA,Bizkaia,,,,
DANIEL FRANCISCO,FOLCH,Álava,,,,
FRANCISCO EDUARDO,VILLALON,Álava,,,,
LAMIN,ILLAN,Álava,,,,
JUAN JORGE,ADELL,Euskadi,,,,
SANTIAGO JAVIER,PORTILLA,Euskadi,,,,
EL MOKHTAR,ALDEA,Euskadi,,,,
PABLO ALEJANDRO,ETXEBERRIA,Gipuzkoa,,,,
FRANCISCO XAVIER,ESCOLAR,Gipuzkoa,,,,
SILVIU,FANDIÑO,Gipuzkoa,,,,
JAIME LUIS,GARATE,Bizkaia,,,,
JOAQUIN FRANCISCO,ELENA,Bizkaia,,,,
BIBIANO,BOLUDA,Bizkaia,,,,
CARLOS HUMBERTO,ORTIN,Álava,,,,
CARLOS MARIO,DIMITROVA,Álava,,,,
GIANLUCA,FORNES,Álava,,,,
MAURIZIO,ADAME,Euskadi,,,,
LUIS HUMBERTO,LLOBET,Euskadi,,,,
YASSER,BOUZA,Euskadi,,,,
ALEJANDRO DAVID,VILAPLANA,Gipuzkoa,,,,
BERNARDO JOSE,ELORZA,Gipuzkoa,,,,
MOHAMED SAID,INSUA,Gipuzkoa,,,,
GABRIEL ANTONIO,MONTAÑEZ,Bizkaia,,,,
JESUS PEDRO,ZAPICO,Bizkaia,,,,
LUIS RICARDO,WILLIAMS,Bizkaia,,,,
MARCOS JAVIER,MARCHANTE,Álava,,,,
ROBERTO JESUS,CARRASCAL,Álava,,,,
SERGIO DANIEL,ILLESCAS,Álava,,,,
XIAN,LEMOS,Euskadi,,,,
TOBIAS,GREGORI,Euskadi,,,,
ARAN,TEROL,Euskadi,,,,
FELIP,MARZO,Gipuzkoa,,,,
ANTONIO SALVADOR,CREMADES,Gipuzkoa,,,,
IRAITZ,ADROVER,Gipuzkoa,,,,
JAVIER ENRIQUE,GOMARIZ,Bizkaia,,,,
JOAO MANUEL,PUEBLA,Bizkaia,,,,
JOSE SEBASTIAN,GOMILA,Bizkaia,,,,
SALAH EDDINE,TROYA,Álava,,,,
VICTOR ANDRES,AUGUSTO,Álava,,,,
CHERKAOUI,MAGDALENO,Álava,,,,
LOIS,LECHUGA,Euskadi,,,,
BRANDON,COROMINAS,Euskadi,,,,
EUFEMIO,MULA,Euskadi,,,,
JESUS ALFONSO,GAVIRA,Gipuzkoa,,,,
JESUS JUAN,RAYO,Gipuzkoa,,,,
MARCIN,HORTELANO,Gipuzkoa,,,,
RUBEN JESUS,SERBAN,Bizkaia,,,,
DANIEL EDUARDO,CACHO,Bizkaia,,,,
FLOREA,ESCALERA,Bizkaia,,,,
GIORGIO,BONILLO,Álava,,,,
ZENON,BARBER,Álava,,,,
ERNESTO JOSE,ORIHUELA,Álava,,,,
JAVIER LUIS,ARIÑO,Euskadi,,,,
RUBEN JOSE,GUAL,Euskadi,,,,
ANDRES ANTONIO,PALENZUELA,Euskadi,,,,
CRISTIAN JESUS,BALDE,Gipuzkoa,,,,
GABRIEL JOSE,GUEDES,Gipuzkoa,,,,
SINFORIANO,CALVIÑO,Gipuzkoa,,,,
JORGE RAMON,ARMERO,Bizkaia,,,,
VITOR MANUEL,DONCEL,Bizkaia,,,,
MARWAN,HOLGUIN,Bizkaia,,,,
TAYEB,NOGUES,Álava,,,,
KADDOUR,ARNEDO,Álava,,,,
LUIS ARMANDO,LANZA,Álava,,,,
ONESIMO,MONSERRAT,Euskadi,,,,
RUI MANUEL,MORAGA,Euskadi,,,,
CARLOS GABRIEL,LARIOS,Euskadi,,,,
EDORTA,RUBIALES,Gipuzkoa,,,,
JUAN BERNARDO,STEFAN,Gipuzkoa,,,,
ADOLFO JOSE,CLAVERIA,Gipuzkoa,,,,
CRISTIAN JOSE,ALEJO,Bizkaia,,,,
ABDENBI,JUSTICIA,Bizkaia,,,,
CARLOS JULIO,MOLINS,Bizkaia,,,,
GAUDENCIO,ALMODOVAR,Álava,,,,
JOAO PAULO,ALBARRACIN,Álava,,,,
JOSE ISRAEL,SOLORZANO,Álava,,,,
JOSE RAMIRO,PINTOS,Euskadi,,,,
EUGENIO JOSE,SALOM,Euskadi,,,,
FELIX JAVIER,CAVERO,Euskadi,,,,
JULI,CUADRA,Gipuzkoa,,,,
MARKUS,MALO,Gipuzkoa,,,,
SIRO,CANTARERO,Gipuzkoa,,,,
TRINIDAD,SEBASTIA,Bizkaia,,,,
ADALBERTO,OVEJERO,Bizkaia,,,,
CRISTOBAL JESUS,OÑATE,Bizkaia,,,,
NUNO MIGUEL,MESTRES,Álava,,,,
ALIPIO,CAPEL,Álava,,,,
FELIX JESUS,PRESA,Álava,,,,
JASON,VIGIL,Euskadi,,,,
JULIO FRANCISCO,GAYA,Euskadi,,,,
OSCAR DANIEL,CARAZO,Euskadi,,,,
JESUS JOAQUIN,LLAMAZARES,Gipuzkoa,,,,
ANTONIO IGNACIO,CORREDOR,Gipuzkoa,,,,
DARIUS,FALCO,Gipuzkoa,,,,
JORGE FERNANDO,CRESPI,Bizkaia,,,,
JUAN NICOLAS,MAGAÑA,Bizkaia,,,,
MOHAMED REDA,ARREDONDO,Bizkaia,,,,
ALVARO ANTONIO,GORDON,Álava,,,,
CRISPIN,ORGAZ,Álava,,,,
FABRIZIO,CABRAL,Álava,,,,
FRANÇOIS,ADRIAN,Euskadi,,,,
HABIB,DOBLAS,Euskadi,,,,
MIGUEL ALBERTO,EZQUERRA,Euskadi,,,,
RIDA,BOCANEGRA,Gipuzkoa,,,,
ZOUHAIR,CASTELO,Gipuzkoa,,,,
OSCAR EDUARDO,GALA,Gipuzkoa,,,,
SUFIAN,JUEZ,Bizkaia,,,,
TAHAR,PEDREIRA,Bizkaia,,,,
ABDELJALIL,LUGO,Bizkaia,,,,
HELMUT,CUELLO,Álava,,,,
OBDULIO,RUSU,Álava,,,,
MIGUEL ANDRES,ASTORGA,Álava,,,,
ANTONIO JORGE,FARIÑAS,Euskadi,,,,
BELISARIO,RIBA,Euskadi,,,,
JUAN CARMELO,RIESCO,Euskadi,,,,
LEONARD,TORRENS,Gipuzkoa,,,,
OUALID,TEIXIDO,Gipuzkoa,,,,
ALFONSO MARIA,TAYLOR,Gipuzkoa,,,,
FRANCISCO RAUL,CAÑO,Bizkaia,,,,
JESUS EDUARDO,ELIZALDE,Bizkaia,,,,
JOSE ALEXIS,DE LOS RIOS,Bizkaia,,,,
LAUDELINO,ARREBOLA,Álava,,,,
TONY,BEL,Álava,,,,
JUAN BENITO,POLANCO,Álava,,,,
DANIEL ENRIQUE,PLATERO,Euskadi,,,,
TOMAS JESUS,SOARES,Euskadi,,,,
EDUARDO FRANCISCO,ILIE,Euskadi,,,,
ANTONIO EDUARDO,MELCHOR,Gipuzkoa,,,,
RAFAEL VICENTE,RUBIA,Gipuzkoa,,,,
UGAITZ,LONDOÑO,Gipuzkoa,,,,
VALERIY,OLIVE,Bizkaia,,,,
ALVARO JAVIER,FEITO,Bizkaia,,,,
HECTOR FABIO,GRANELL,Bizkaia,,,,
MAJID,TARIN,Álava,,,,
OLIVERIO,LAMA,Álava,,,,
ANGEL EDUARDO,BATALLER,Álava,,,,
SERGIO ANDRES,PAÑOS,Euskadi,,,,
JULIAN ANTONIO,CABALEIRO,Euskadi,,,,
JAIME ALBERTO,ULLOA,Euskadi,,,,
GIANCARLO,PEÑARANDA,Gipuzkoa,,,,
JULIO JAVIER,CALVET,Gipuzkoa,,,,
ENRIQUE MIGUEL,ALLENDE,Gipuzkoa,,,,
GARY,ARGUELLO,Bizkaia,,,,
JOSE SANTOS,JI,Bizkaia,,,,
FRANCISCO AGUSTIN,PALMER,Bizkaia,,,,
SERGIO JAVIER,ARMENDARIZ,Álava,,,,
RAUL JOSE,PIRES,Álava,,,,
RUMEN,ARCO,Álava,,,,
CRISTIAN ANDRES,SUREDA,Euskadi,,,,
FRANCESC JOSEP,POL,Euskadi,,,,
FRANCISCO ALFONSO,VILLAREJO,Euskadi,,,,
EL HOUSSINE,MARFIL,Gipuzkoa,,,,
LAKHDAR,MENACHO,Gipuzkoa,,,,
JOAO CARLOS,ABARCA,Gipuzkoa,,,,
JUAN ALONSO,PERNAS,Bizkaia,,,,
KAI,MATUTE,Bizkaia,,,,
SERGIO MIGUEL,NAVA,Bizkaia,,,,
DARIUSZ,POYATOS,Álava,,,,
ELIECER,SARRIA,Álava,,,,
FRANCISCO ANTON,MAMANI,Álava,,,,
MAROUAN,CALLEJON,Euskadi,,,,
SMAIL,OLIVEROS,Euskadi,,,,
ABDELKHALEK,ETXEBARRIA,Euskadi,,,,
BOUAZZA,GAY,Gipuzkoa,,,,
MIGUEL JAVIER,GAONA,Gipuzkoa,,,,
MANUEL DOMINGO,DOPICO,Gipuzkoa,,,,
PABLO DAVID,ODRIOZOLA,Bizkaia,,,,
STEPAN,OLALLA,Bizkaia,,,,
BOHDAN,RISCO,Bizkaia,,,,
EDUARDO MIGUEL,BROWN,Álava,,,,
YOUSEF,CARCELES,Álava,,,,
IDELFONSO,CAMARASA,Álava,,,,
NILO,GIBERT,Euskadi,,,,
VICENS,VILLARROYA,Euskadi,,,,
ANWAR,OSPINA,Euskadi,,,,
FABRICIANO,CARRIL,Gipuzkoa,,,,
HAMED,MONTANER,Gipuzkoa,,,,
JOHANNES,SESMA,Gipuzkoa,,,,
JUAN VICTOR,COLAS,Bizkaia,,,,
MIHAITA,MOLTO,Bizkaia,,,,
SANTI,BARRUL,Bizkaia,,,,
AGUSTIN MANUEL,CERON,Álava,,,,
BOSCO,SILLERO,Álava,,,,
JULIO JESUS,SALGUEIRO,Álava,,,,
GABRIEL JESUS,MADARIAGA,Euskadi,,,,
ASER,CORREDERA,Euskadi,,,,
HAROLD,KEITA,Euskadi,,,,
JACK,SANTACRUZ,Gipuzkoa,,,,
JOAQUIN MIGUEL,SANJURJO,Gipuzkoa,,,,
JOSE ANTON,DOVAL,Gipuzkoa,,,,
NEIL,MULLER,Bizkaia,,,,
JIE,BRUNO,Bizkaia,,,,
LEONIDES,CAVA,Bizkaia,,,,
ABIAN,ESTRELLA,Álava,,,,
ANDRES DAVID,SUERO,Álava,,,,
ARIDANE,RUFO,Álava,,,,
VICTOR FRANCISCO,ZAPATERO,Euskadi,,,,
ATANAS,JAUME,Euskadi,,,,
CRISTO,GARRIGOS,Euskadi,,,,
MIGUEL VICENTE,CIOBANU,Gipuzkoa,,,,
CORNELIU,SANTANDER,Gipuzkoa,,,,
DIETER,OLLE,Gipuzkoa,,,,
LUIS ARTURO,CAMPUZANO,Gipuzkoa,,,,
MARIUSZ,LIGERO,Gipuzkoa,,,,
ANCOR,SANTAELLA,Bizkaia,,,,
KHALIFA,ISLA,Bizkaia,,,,
AZEDDINE,LLABRES,Bizkaia,,,,
ALBERTO MIGUEL,LAZAR,Bizkaia,,,,
VICTOR ANGEL,GALLART,Bizkaia,,,,
FILIP,IQBAL,Álava,,,,
RAUL ALBERTO,COMINO,Álava,,,,
ABDELMALIK,ROJANO,Álava,,,,
ISABELINO,PIRIS,Álava,,,,
JUAN ISIDRO,CUBILLO,Álava,,,,
MIGUEL IGNACIO,HUMANES,Euskadi,,,,
ROBIN,VILLALTA,Euskadi,,,,
ANGEL IGNACIO,TENDERO,Euskadi,,,,
VINCENT,GODINO,Euskadi,,,,
JUAN RAUL,VALENCIANO,Euskadi,,,,
VLADISLAV,ESPINOLA,Gipuzkoa,,,,
ARTHUR,GRAS,Gipuzkoa,,,,
SATURIO,GARIJO,Gipuzkoa,,,,
STEPHANE,DOMENE,Gipuzkoa,,,,
ANDRES JAVIER,MOZO,Gipuzkoa,,,,
JON IÑAKI,CHINEA,Bizkaia,,,,
JOSE AMADOR,BOHORQUEZ,Bizkaia,,,,
ANTONIO ALFONSO,VASCO,Bizkaia,,,,
JAVIER ANDRES,FORTUNY,Bizkaia,,,,
JOHN WILLIAM,PARES,Bizkaia,,,,
FERNANDO DAVID,BENET,Álava,,,,
LUIS GERARDO,ARTOLA,Álava,,,,
NICOLAU,EZQUERRO,Álava,,,,
YASIR,HERRADOR,Álava,,,,
AURELIAN,BARQUIN,Álava,,,,
AYOSE,FLOREA,Euskadi,,,,
ENRICO,LIMON,Euskadi,,,,
RUDOLF,ARRIZABALAGA,Euskadi,,,,
COLIN,VALDEZ,Euskadi,,,,
JUAN EUGENIO,PARIENTE,Euskadi,,,,
PEDRO AGUSTIN,ESTRUCH,Gipuzkoa,,,,
VICTOR DAVID,DOLZ,Gipuzkoa,,,,
DJAMEL,CARA,Gipuzkoa,,,,
HERACLIO,VIVAR,Gipuzkoa,,,,
PABLO IGNACIO,DEL ROSARIO,Gipuzkoa,,,,
BELKACEM,ARRIAGA,Bizkaia,,,,
